"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Mar 28 16:24:29 CET 2024","Thu Mar 28 16:24:30 CET 2024","876","","homework_20_api_tests","","","","test_create_object[Object2-value3-value4]",""
"passed","Thu Mar 28 16:24:28 CET 2024","Thu Mar 28 16:24:29 CET 2024","1097","","homework_20_api_tests","","","","test_create_object[Object1-value1-value2]",""
"passed","Thu Mar 28 16:24:30 CET 2024","Thu Mar 28 16:24:31 CET 2024","956","","homework_20_api_tests","","","","test_create_object[Object3-value5-value6]",""
"passed","Thu Mar 28 16:24:32 CET 2024","Thu Mar 28 16:24:33 CET 2024","942","","homework_20_api_tests","","","","test_update_object_put",""
"passed","Thu Mar 28 16:24:35 CET 2024","Thu Mar 28 16:24:36 CET 2024","1391","","homework_20_api_tests","","","","test_update_object_patch",""
